Epoch: (0), Loss : 5.546824715354226 , acc: 48.42862215909091%
Epoch: (1), Loss : 5.589385562472874 , acc: 49.609375%
Epoch: (2), Loss : 5.541512882008272 , acc: 51.39016544117647%
Epoch: (3), Loss : 5.540827857123481 , acc: 51.01996527777778%
Epoch: (4), Loss : 5.5842428768382355 , acc: 50.73529411764706%
Epoch: (5), Loss : 5.535009596082899 , acc: 51.52994791666667%
Epoch: (6), Loss : 5.508075714111328 , acc: 57.080078125%
Epoch: (7), Loss : 5.497554779052734 , acc: 55.62065972222222%
Epoch: (8), Loss : 5.63277154219778 , acc: 51.35176809210527%
Epoch: (9), Loss : 5.502718925476074 , acc: 53.6376953125%
Epoch: (10), Loss : 5.635447025299072 , acc: 50.592041015625%
Epoch: (11), Loss : 5.493059794108073 , acc: 61.19791666666667%
Epoch: (12), Loss : 5.4948649406433105 , acc: 55.8837890625%
Epoch: (13), Loss : 5.553986493278952 , acc: 51.59696691176471%
Epoch: (14), Loss : 5.499155680338542 , acc: 53.94965277777778%
Epoch: (15), Loss : 5.471456527709961 , acc: 55.94075520833333%
Epoch: (16), Loss : 5.502337369051847 , acc: 54.89169034090908%
Epoch: (17), Loss : 5.47559928894043 , acc: 55.79427083333333%
Epoch: (18), Loss : 5.498555755615234 , acc: 53.68164062500001%
Epoch: (19), Loss : 5.516027450561523 , acc: 53.2470703125%
Epoch: (20), Loss : 5.450435638427734 , acc: 57.177734375%
Epoch: (21), Loss : 5.562374114990234 , acc: 51.064453125%
Epoch: (22), Loss : 5.51095937093099 , acc: 54.212239583333336%
Epoch: (23), Loss : 5.521762623506434 , acc: 52.39545036764706%
Epoch: (24), Loss : 5.502800496419271 , acc: 53.22265625%
Epoch: (25), Loss : 5.431288719177246 , acc: 60.2783203125%
Epoch: (26), Loss : 5.449004173278809 , acc: 56.787109375%
Epoch: (27), Loss : 5.457340934059837 , acc: 56.21448863636363%
Epoch: (28), Loss : 5.6201629638671875 , acc: 53.94381009615385%
Epoch: (29), Loss : 5.422362009684245 , acc: 61.26302083333333%
Epoch: (30), Loss : 5.458686828613281 , acc: 56.62977430555556%
Epoch: (31), Loss : 5.440566539764404 , acc: 56.689453125%
Epoch: (32), Loss : 5.500018819173177 , acc: 53.73046875000001%
Epoch: (33), Loss : 5.476672832782452 , acc: 54.78515625%
Epoch: (34), Loss : 5.408304486955915 , acc: 59.10993303571428%
Epoch: (35), Loss : 5.425123977661133 , acc: 57.0703125%
Epoch: (36), Loss : 5.417800426483154 , acc: 57.7880859375%
Epoch: (37), Loss : 5.353157043457031 , acc: 60.15625%
Epoch: (38), Loss : 5.40942611694336 , acc: 57.01171874999999%
Epoch: (39), Loss : 5.407703052867543 , acc: 57.63494318181819%
Epoch: (40), Loss : 5.348686218261719 , acc: 60.791015625%
Epoch: (41), Loss : 5.491436351429332 , acc: 56.37428977272727%
Epoch: (42), Loss : 5.704417178505345 , acc: 52.20497532894737%
Epoch: (43), Loss : 5.552084181043837 , acc: 53.67296006944444%
Epoch: (44), Loss : 5.3414740562438965 , acc: 61.962890625%
Epoch: (45), Loss : 5.631831698947483 , acc: 53.40711805555556%
Epoch: (46), Loss : 5.414937973022461 , acc: 61.23046875%
Epoch: (47), Loss : 5.520306723458426 , acc: 53.52957589285714%
Epoch: (48), Loss : 5.384246826171875 , acc: 59.70052083333333%
Epoch: (49), Loss : 5.406476593017578 , acc: 58.73046875%
Epoch: (50), Loss : 5.473936971028646 , acc: 55.00000000000001%
Epoch: (51), Loss : 5.451872018667368 , acc: 56.370192307692314%
Epoch: (52), Loss : 5.389147077287946 , acc: 59.65401785714286%
Epoch: (53), Loss : 5.371924972534179 , acc: 62.59765625%
Epoch: (54), Loss : 5.352492014567058 , acc: 61.60481770833333%
Epoch: (55), Loss : 5.501148986816406 , acc: 55.677083333333336%
